entry_time,direction,entry_type,entry_price,stop,target,exit_time,exit_price,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-08-05 09:00:00-04:00,LONG,Breakout,11117.7,11093.812103670272,11189.363688989186,2020-08-05 15:00:00-04:00,11093.812103670272,SL,3.0,-1.0,-1.1256,-1125.59
2020-08-05 18:00:00-04:00,LONG,Retest,11104.4,11093.874516091031,11135.976451726905,2020-08-05 20:00:00-04:00,11093.874516091031,SL,3.0,-1.0,-1.285,-1285.02
2020-08-06 09:00:00-04:00,LONG,Bounce,11124.7,11067.794581852388,11295.41625444284,2020-08-07 14:00:00-04:00,11067.794581852388,SL,3.0,-1.0,-1.0527,-1052.72
2020-08-07 14:00:00-04:00,LONG,Bounce,11089.0,11049.556168578243,11207.33149426527,2020-08-10 10:00:00-04:00,11049.556168578243,SL,3.0,-1.0,-1.0761,-1076.06
2020-08-10 15:00:00-04:00,LONG,Bounce,11083.5,11030.669367878168,11241.991896365495,2020-08-11 08:00:00-04:00,11030.669367878168,SL,3.0,-1.0,-1.0568,-1056.79
2020-08-13 08:00:00-04:00,LONG,Breakout,11195.8,11182.423927500755,11235.928217497732,2020-08-13 09:00:00-04:00,11182.423927500755,SL,3.0,-1.0,-1.2243,-1224.28
2020-08-13 10:00:00-04:00,LONG,Retest,11243.3,11181.516243610344,11428.651269168966,2020-08-13 14:00:00-04:00,11181.516243610344,SL,3.0,-1.0,-1.0486,-1048.56
2020-08-17 09:00:00-04:00,LONG,Breakout,11268.3,11235.616879067164,11366.349362798506,2020-08-18 09:00:00-04:00,11366.349362798506,TP,3.0,3.0,2.9082,2908.21
2020-08-21 10:00:00-04:00,LONG,Breakout,11547.2,11516.877388715448,11638.16783385366,2020-08-21 11:00:00-04:00,11516.877388715448,SL,3.0,-1.0,-1.0989,-1098.94
2020-08-21 12:00:00-04:00,LONG,Breakout,11540.4,11516.30795251485,11612.67614245545,2020-08-21 13:00:00-04:00,11516.30795251485,SL,3.0,-1.0,-1.1245,-1124.52
2020-09-04 09:00:00-04:00,SHORT,Breakout,11540.8,11603.941132377488,11351.376602867535,2020-09-04 10:00:00-04:00,11603.941132377488,SL,3.0,-1.0,-1.0475,-1047.51
2020-09-07 22:00:00-04:00,SHORT,Retest,11508.6,11597.067412709668,11243.197761870997,2020-09-08 06:00:00-04:00,11243.197761870997,TP,3.0,3.0,2.9661,2966.09
2020-09-11 12:00:00-04:00,SHORT,Breakout,11019.2,11107.40547204088,10754.583583877362,2020-09-11 15:00:00-04:00,11107.40547204088,SL,3.0,-1.0,-1.034,-1034.01
2020-09-18 12:00:00-04:00,SHORT,Breakout,10861.1,10933.523547739936,10643.829356780192,2020-09-18 15:00:00-04:00,10933.523547739936,SL,3.0,-1.0,-1.0414,-1041.42
2020-09-21 10:00:00-04:00,SHORT,Breakout,10725.5,10773.315561746771,10582.053314759687,2020-09-21 11:00:00-04:00,10773.315561746771,SL,3.0,-1.0,-1.0627,-1062.74
2020-09-25 11:00:00-04:00,SHORT,Bounce,10981.2,11040.487452071578,10803.337643785268,2020-09-25 12:00:00-04:00,11040.487452071578,SL,3.0,-1.0,-1.0506,-1050.6
2020-09-30 10:00:00-04:00,LONG,Breakout,11451.4,11428.156123741732,11521.131628774803,2020-09-30 14:00:00-04:00,11428.156123741732,SL,3.0,-1.0,-1.1291,-1129.07
2020-10-08 02:00:00-04:00,LONG,Breakout,11574.5,11529.773455372762,11708.679633881713,2020-10-08 09:00:00-04:00,11529.773455372762,SL,3.0,-1.0,-1.0671,-1067.07
2020-10-20 11:00:00-04:00,LONG,Bounce,11694.6,11594.721939229184,11994.234182312448,2020-10-22 10:00:00-04:00,11594.721939229184,SL,3.0,-1.0,-1.03,-1030.04
2020-10-22 10:00:00-04:00,SHORT,Breakout,11577.4,11614.634982232632,11465.695053302103,2020-10-22 11:00:00-04:00,11614.634982232632,SL,3.0,-1.0,-1.0806,-1080.57
2020-10-26 10:00:00-04:00,SHORT,Breakout,11548.2,11572.300834409985,11475.897496770047,2020-10-26 11:00:00-04:00,11475.897496770047,TP,3.0,3.0,2.8755,2875.52
2020-10-27 21:00:00-04:00,SHORT,Retest,11542.8,11572.116943301387,11454.849170095835,2020-10-28 01:00:00-04:00,11572.116943301387,SL,3.0,-1.0,-1.1023,-1102.33
2020-10-30 01:00:00-04:00,SHORT,Breakout,11082.4,11168.233547586358,10824.899357240924,2020-10-30 05:00:00-04:00,11168.233547586358,SL,3.0,-1.0,-1.035,-1034.95
2020-10-30 10:00:00-04:00,SHORT,Breakout,10999.9,11171.092608636656,10486.32217409003,2020-11-02 04:00:00-05:00,11171.092608636656,SL,3.0,-1.0,-1.0175,-1017.52
2020-11-03 10:00:00-05:00,LONG,Breakout,11345.2,11212.438581922837,11743.484254231491,2020-11-03 22:00:00-05:00,11743.484254231491,TP,3.0,3.0,2.9774,2977.4
2020-11-09 08:00:00-05:00,LONG,Breakout,12171.7,12108.732419021688,12360.60274293494,2020-11-09 09:00:00-05:00,12108.732419021688,SL,3.0,-1.0,-1.0476,-1047.64
2020-11-19 09:00:00-05:00,LONG,Bounce,11925.3,11851.549670715918,12146.550987852243,2020-11-23 11:00:00-05:00,11851.549670715918,SL,3.0,-1.0,-1.0407,-1040.68
2020-11-23 14:00:00-05:00,LONG,Bounce,11925.1,11901.280600491958,11996.558198524126,2020-11-23 15:00:00-05:00,11901.280600491958,SL,3.0,-1.0,-1.1259,-1125.95
2020-11-24 11:00:00-05:00,LONG,Breakout,12024.0,12001.26282335502,12092.211529934939,2020-11-24 13:00:00-05:00,12092.211529934939,TP,3.0,3.0,2.8681,2868.06
2020-11-30 03:00:00-05:00,LONG,Breakout,12262.2,12221.730168381588,12383.60949485524,2020-11-30 10:00:00-05:00,12221.730168381588,SL,3.0,-1.0,-1.0741,-1074.13
2020-11-30 11:00:00-05:00,LONG,Bounce,12200.7,12124.1677022126,12430.296893362201,2020-12-01 10:00:00-05:00,12430.296893362201,TP,3.0,3.0,2.9608,2960.8
2020-12-02 09:00:00-05:00,LONG,Bounce,12378.6,12331.248753538834,12520.6537393835,2020-12-03 10:00:00-05:00,12520.6537393835,TP,3.0,3.0,2.9366,2936.64
2020-12-03 11:00:00-05:00,LONG,Breakout,12511.8,12490.85166184971,12574.645014450865,2020-12-03 12:00:00-05:00,12490.85166184971,SL,3.0,-1.0,-1.1432,-1143.21
2020-12-07 09:00:00-05:00,LONG,Breakout,12586.3,12550.492600310594,12693.722199068216,2020-12-07 13:00:00-05:00,12550.492600310594,SL,3.0,-1.0,-1.0838,-1083.78
2020-12-07 14:00:00-05:00,LONG,Retest,12583.4,12550.408191838076,12682.37542448577,2020-12-08 06:00:00-05:00,12550.408191838076,SL,3.0,-1.0,-1.0909,-1090.93
2020-12-14 09:00:00-05:00,LONG,Breakout,12525.9,12445.105123098629,12768.284630704113,2020-12-14 21:00:00-05:00,12445.105123098629,SL,3.0,-1.0,-1.0371,-1037.13
2021-01-07 09:00:00-05:00,LONG,Breakout,12849.4,12795.655063406111,13010.634809781664,2021-01-08 07:00:00-05:00,13010.634809781664,TP,3.0,3.0,2.9442,2944.18
2021-01-11 09:00:00-05:00,LONG,Bounce,12971.3,12931.070634897223,13091.988095308327,2021-01-11 14:00:00-05:00,12931.070634897223,SL,3.0,-1.0,-1.0746,-1074.57
2021-01-13 10:00:00-05:00,LONG,Breakout,12985.1,12938.180641188312,13125.858076435066,2021-01-14 05:00:00-05:00,12938.180641188312,SL,3.0,-1.0,-1.0639,-1063.94
2021-01-19 12:00:00-05:00,LONG,Breakout,12968.9,12954.606195631655,13011.781413105033,2021-01-19 15:00:00-05:00,13011.781413105033,TP,3.0,3.0,2.7901,2790.12
2021-01-24 19:00:00-05:00,LONG,Breakout,13450.4,13429.293256796218,13513.720229611345,2021-01-25 07:00:00-05:00,13513.720229611345,TP,3.0,3.0,2.8579,2857.87
2021-01-25 13:00:00-05:00,LONG,Breakout,13448.0,13425.027379886322,13516.917860341035,2021-01-25 14:00:00-05:00,13425.027379886322,SL,3.0,-1.0,-1.1306,-1130.59
2021-01-25 20:00:00-05:00,LONG,Retest,13458.6,13426.201147996617,13555.796556010151,2021-01-25 23:00:00-05:00,13426.201147996617,SL,3.0,-1.0,-1.0926,-1092.6
2021-01-27 14:00:00-05:00,SHORT,Breakout,13134.8,13219.360198839662,12881.11940348101,2021-01-28 09:00:00-05:00,13219.360198839662,SL,3.0,-1.0,-1.0355,-1035.48
2021-02-01 10:30:00-05:00,LONG,Breakout,13127.1,13088.264839727517,13243.60548081745,2021-02-01 10:45:00-05:00,13088.264839727517,SL,3.0,-1.0,-1.0772,-1077.25
2021-02-01 11:00:00-05:00,LONG,Breakout,13110.4,13087.263764867095,13179.808705398713,2021-02-01 11:30:00-05:00,13179.808705398713,TP,3.0,3.0,2.8703,2870.33
2021-02-01 20:15:00-05:00,LONG,Breakout,13329.6,13276.911001313003,13487.666996060992,2021-02-02 13:30:00-05:00,13487.666996060992,TP,3.0,3.0,2.9431,2943.06
2021-02-04 10:00:00-05:00,LONG,Bounce,13445.2,13424.899542008297,13506.10137397511,2021-02-04 10:15:00-05:00,13424.899542008297,SL,3.0,-1.0,-1.1478,-1147.78
2021-02-09 09:45:00-05:00,LONG,Breakout,13711.4,13692.657546749399,13767.627359751803,2021-02-09 11:00:00-05:00,13692.657546749399,SL,3.0,-1.0,-1.1601,-1160.06
2021-02-10 02:30:00-05:00,LONG,Breakout,13772.9,13757.130845095035,13820.207464714895,2021-02-10 03:00:00-05:00,13757.130845095035,SL,3.0,-1.0,-1.1902,-1190.24
2021-02-10 03:45:00-05:00,LONG,Breakout,13763.3,13756.856374330395,13782.630877008813,2021-02-10 04:00:00-05:00,13756.856374330395,SL,3.0,-1.0,-1.4656,-1465.58
2021-02-11 03:15:00-05:00,LONG,Breakout,13687.9,13673.705619458824,13730.483141623527,2021-02-11 09:15:00-05:00,13730.483141623527,TP,3.0,3.0,2.7886,2788.65
2021-02-17 03:45:00-05:00,LONG,Breakout,13784.0,13774.308189278547,13813.07543216436,2021-02-17 04:00:00-05:00,13774.308189278547,SL,3.0,-1.0,-1.3095,-1309.54
2021-02-22 10:15:00-05:00,SHORT,Breakout,13363.8,13376.630130553085,13325.309608340742,2021-02-22 10:30:00-05:00,13325.309608340742,TP,3.0,3.0,2.7662,2766.18
2021-02-22 14:15:00-05:00,SHORT,Retest,13358.5,13376.095249044482,13305.714252866555,2021-02-22 15:00:00-05:00,13305.714252866555,TP,3.0,3.0,2.8295,2829.5
2021-02-23 04:00:00-05:00,SHORT,Breakout,13149.1,13204.87595924847,12981.772122254593,2021-02-23 05:15:00-05:00,12981.772122254593,TP,3.0,3.0,2.9462,2946.21
2021-02-23 09:30:00-05:00,SHORT,Breakout,12833.6,12962.42507709193,12447.124768724212,2021-02-23 10:00:00-05:00,12962.42507709193,SL,3.0,-1.0,-1.0233,-1023.29
2021-02-23 12:45:00-05:00,SHORT,Retest,12907.3,12966.52505363612,12729.624839091637,2021-02-23 13:00:00-05:00,12966.52505363612,SL,3.0,-1.0,-1.0507,-1050.65
2021-02-24 10:00:00-05:00,SHORT,Breakout,12993.4,13045.031430535415,12838.505708393754,2021-02-24 10:15:00-05:00,13045.031430535415,SL,3.0,-1.0,-1.0581,-1058.1
2021-02-25 09:45:00-05:00,SHORT,Bounce,13223.7,13281.28199976021,13050.954000719375,2021-02-25 11:30:00-05:00,13050.954000719375,TP,3.0,3.0,2.9479,2947.9
2021-03-02 10:30:00-05:00,SHORT,Breakout,13155.4,13175.401841304107,13095.394476087678,2021-03-02 10:45:00-05:00,13175.401841304107,SL,3.0,-1.0,-1.15,-1149.99
2021-03-02 11:15:00-05:00,SHORT,Breakout,13160.4,13176.179812443557,13113.060562669327,2021-03-02 11:30:00-05:00,13113.060562669327,TP,3.0,3.0,2.8099,2809.88
2021-03-02 14:15:00-05:00,SHORT,Retest,13143.4,13175.77423868771,13046.277283936866,2021-03-02 14:45:00-05:00,13175.77423868771,SL,3.0,-1.0,-1.0927,-1092.67
2021-03-03 08:30:00-05:00,SHORT,Breakout,13004.5,13070.820963221733,12805.5371103348,2021-03-03 13:00:00-05:00,12805.5371103348,TP,3.0,3.0,2.9548,2954.77
2021-03-04 04:00:00-05:00,SHORT,Bounce,12632.5,12676.270675475793,12501.187973572622,2021-03-04 08:15:00-05:00,12676.270675475793,SL,3.0,-1.0,-1.0685,-1068.54
